answer,p_value,num_words
ginger rogers,0.0,20
henry james,6.531543768012231e-46,20
glasgow,1.5139103763966502e-102,20
john brown,0.0,20
henry fonda,3.9453625543098266e-09,20
germany,1.3427419995378806e-49,20
oslo,6.809063969632465e-35,20
the thames,1.0992394820110741e-62,20
turquoise,1.7634747003568248e-100,20
tarzan,2.3113502749555908e-18,20
scotland,1.5122200007242934e-22,20
elbow,8.305528765299785e-28,20
the miracle worker,3.5775754993736228e-149,20
prague,3.509951594609426e-73,20
star wars,1.491514667030467e-11,20
glass,4.0126936055433367e-07,20
canberra,2.0239814563384714e-14,20
bluegrass,1.8280824432722503e-185,20
bethlehem,3.2285686829317483e-26,20
the femur,1.6692436782445193e-110,20
grease,3.1399670157403675e-63,20
habeas corpus,4.213516965472803e-91,20
coolidge,1.1639878044713266e-10,20
john steinbeck,6.837878121364e-72,20
george vi,1.1276792653768663e-29,20
carrie,1.1118828755395514e-47,20
deer,7.676800767721084e-70,20
u2,3.6758463630315236e-122,20
london,2.8196107460425506e-30,20
m&m's,1.3338964743199924e-177,20
dominoes,2.0629986656055365e-38,20
maryland,2.1292539996159585e-30,20
china,2.012751312630144e-99,20
japanese,6.83693103238988e-18,20
the louvre,4.573999188305625e-165,20
12,1.1697016166585442e-14,20
amino acids,1.6655483118544628e-256,20
jerry rice,6.185886467381196e-39,20
the mayflower,1.1234514154889736e-184,20
sigmund freud,9.59157058083789e-08,20
buck,1.8682448586594503e-11,20
13,4.56039370298943e-59,20
shrek,2.0742098372756906e-96,20
iran,1.756217592930698e-18,20
norman rockwell,4.4431570383013766e-142,20
geronimo,0.0,20
down,1.6139360713119448e-21,20
new york,1.5555527085524386e-40,20
edison,3.6305097950376864e-119,20
teeth,0.26287953584341905,20
claudius,1.9228372551261117e-77,20
janet jackson,6.9830719517540446e-15,20
dover,7.27211708217169e-95,20
40,3.35684301179003e-34,20
uranus,5.0098568210614364e-151,20
ernest hemingway,8.608196359778624e-11,20
lamb,2.47446745370507e-41,20
brooke shields,2.4229568896149993e-71,20
tuna,2.1279226982685102e-154,20
pumice,7.2977894127191e-85,20
little rock,9.213570007030157e-46,20
tuesday,6.070344924363426e-57,20
tuberculosis,0.0,20
rolling stone,2.0917482373595626e-152,20
radiohead,8.918329456455983e-94,20
john keats,3.7525238611765206e-80,20
the west wing,2.6142366131460952e-76,20
aries,3.98481894920875e-96,20
great britain,5.99397223279525e-11,20
oxygen,6.231399439037791e-40,20
the library of congress,1.3066044115268964e-19,20
juan carlos,1.8127736964120602e-28,20
volcano,2.3791424533611583e-30,20
churchill,2.6581852227941894e-39,20
diving,1.5910322975977564e-25,20
iron,3.3653428277044397e-77,20
the old man and the sea,0.0,20
hermes,5.75463950196188e-28,20
the everglades,3.152731149710371e-65,20
tallahassee,1.5229047401764147e-83,20
television,2.6842245487961315e-16,20
arizona,7.538682319941965e-33,20
south korea,1.1706774948555661e-07,20
paris,2.446215683424105e-33,20
frasier,2.1550900333361903e-112,20
spanish,2.178773363451189e-199,20
oxygen,6.231399439037791e-40,20
graceland,1.6002925382799002e-222,20
reindeer,3.816737898474827e-66,20
mount sinai,9.079235642501673e-82,20
russell crowe,4.267962090158789e-32,20
scarlett o'hara,5.550932876400194e-38,20
leonardo da vinci,2.8344369885954034e-113,20
jackson pollock,1.3041825150297192e-24,20
cats,3.1161530055780523e-23,20
the core,3.74846800110481e-39,20
skylab,1.8362381073844636e-87,20
halo,7.781649666193261e-45,20
borneo,6.355672429542678e-77,20
russia,1.2412280453987626e-41,20
